route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
A1,EPTC,A1,Alimentadora Escolar A1,,3,https://linhas.eptc.com.br,FF0000,000000
A11,EPTC,A11,Alimentadora Chacara Do Banco,,3,https://linhas.eptc.com.br,FF0000,000000
A360,EPTC,A360,Alimentadora Ipe,,3,https://linhas.eptc.com.br,008000,000000
A671,EPTC,A671,Escolar Lami Ii,,3,https://linhas.eptc.com.br,FF0000,000000
A74,EPTC,A74,Alimentadora Canta Galo/Extrema,,3,https://linhas.eptc.com.br,FF0000,000000
A87,EPTC,A87,Aliment. Moradas Da Hipica/Costa Gama,,3,https://linhas.eptc.com.br,FF0000,000000
A953,EPTC,A953,Alim Ch Das Peras/Q Do Portal/Ida,,3,https://linhas.eptc.com.br,008000,000000
B01,EPTC,B01,Universitaria/Fapa,,3,https://linhas.eptc.com.br,0000FF,000000
B011,EPTC,B011,Rubem Berta/Fiergs,,3,https://linhas.eptc.com.br,0000FF,000000
B252,EPTC,B252,A. Feijo/Joao Paris/Humaita,,3,https://linhas.eptc.com.br,0000FF,000000
E30,EPTC,E30,Fiergs/Assis Brasil,,3,https://linhas.eptc.com.br,0000FF,000000
R62,EPTC,R62,Rapida Rubem Berta,,3,https://linhas.eptc.com.br,0000FF,000000
T2,EPTC,T2,Transversal 2,,3,https://linhas.eptc.com.br,CC7722,000000
T3,EPTC,T3,Transversal 3,,3,https://linhas.eptc.com.br,CC7722,000000
A974,EPTC,A974,Alimentadora Jd. Protasio Alves/Alzira Rosa,,3,https://linhas.eptc.com.br,008000,000000
6333,EPTC,6333,Costa E Silva/Leão,,3,https://linhas.eptc.com.br,0000FF,000000
7032,EPTC,7032,Vila Farrapos/Arena,,3,https://linhas.eptc.com.br,0000FF,000000
3462,EPTC,3462,Sao Jose/Santa Catarina,,3,https://linhas.eptc.com.br,008000,000000
3763,EPTC,3763,Herdeiros/Sta Paula/Ant. De Carvalho/Alim.,,3,https://linhas.eptc.com.br,008000,000000
4925,EPTC,4925,Petrópolis/Vila Margarita (Mob),,3,https://linhas.eptc.com.br,0000FF,000000
3946,EPTC,3946,Q Do Portal/Mapa Ate Salgado Filho,,3,https://linhas.eptc.com.br,008000,000000
A21,EPTC,A21,Alimentadora Nova Gleba/Sta Rosa,,3,https://linhas.eptc.com.br,0000FF,000000
SD72,EPTC,SD72,Santa Rosa/Anchieta Semidireto,,3,https://linhas.eptc.com.br,0000FF,000000
A25,EPTC,A25,Alimentadora A.feijo/Triangulo,,3,https://linhas.eptc.com.br,0000FF,000000
5203,EPTC,5203,Triangulo 24 De Outubro Auxiliadora,,3,https://linhas.eptc.com.br,0000FF,000000
4906,EPTC,4906,Morro Santana/Jardim Ypu,,3,https://linhas.eptc.com.br,008000,000000
6102,EPTC,6102,Minuano/Lindoia/Sarandi,,3,https://linhas.eptc.com.br,0000FF,000000
T111,EPTC,T111,3ª Perimetral/Ate Dr. Campos Velho,,3,https://linhas.eptc.com.br,CC7722,000000
O171,EPTC,O171,Orla Ponta Grossa/Serraria,,3,https://linhas.eptc.com.br,FF0000,000000
110,EPTC,110,Restinga Nova Via Tristeza,,3,https://linhas.eptc.com.br,FF0000,000000
195,EPTC,195,T V,,3,https://linhas.eptc.com.br,FF0000,000000
209,EPTC,209,Restinga,,3,https://linhas.eptc.com.br,FF0000,000000
210,EPTC,210,Restinga Nova,,3,https://linhas.eptc.com.br,FF0000,000000
2441,EPTC,2441,Santa Teresa/Via Mariano De Matos,,3,https://linhas.eptc.com.br,FF0000,000000
251,EPTC,251,Alpes,,3,https://linhas.eptc.com.br,FF0000,000000
263,EPTC,263,Orfanotrofio,,3,https://linhas.eptc.com.br,FF0000,000000
2661,EPTC,2661,Vila Nova (Joao Salomoni),,3,https://linhas.eptc.com.br,FF0000,000000
267,EPTC,267,Lami(Via Belem Novo),,3,https://linhas.eptc.com.br,FF0000,000000
2675,EPTC,2675,Lami Até Cavalhada,,3,https://linhas.eptc.com.br,FF0000,000000
2681,EPTC,2681,Belém Novo/Chapéu Do Sol,,3,https://linhas.eptc.com.br,FF0000,000000
269,EPTC,269,Lami/Belem,,3,https://linhas.eptc.com.br,FF0000,000000
