latitude,longitude,rwi,error
-1.4829887,-46.8786621,-0.662,0.344
-0.8898568,-47.8015137,0.290,0.504
-7.9177932,-39.2761230,-0.533,0.347
-21.1767283,-46.1315918,-0.667,0.414
-1.7245930,-47.9772949,-0.567,0.432
-4.0724942,-39.9572754,0.439,0.465
-1.7465556,-48.5046387,-0.042,0.420
-26.7750390,-51.0095215,1.126,0.422
-20.3343253,-45.1428223,-0.024,0.463
-2.0540032,-45.8020020,-0.181,0.424
-10.3689583,-43.4729004,-0.557,0.324
-4.0505767,-45.1867676,-0.362,0.431
-27.4595389,-52.0422363,-0.446,0.403
-1.6147764,-48.2189941,-0.092,0.411
-2.1198775,-44.5935059,0.968,0.504
-5.9985331,-47.2961426,-0.413,0.351
-7.1553996,-39.8913574,-0.278,0.355
-19.9836736,-40.6604004,-0.259,0.421
-2.1198775,-53.2727051,-0.436,0.375
-4.2478122,-38.7268066,0.494,0.442
-14.6792536,-41.1657715,-0.538,0.361
-3.4585910,-39.3200684,-0.609,0.371
-10.5634219,-43.2531738,-0.323,0.339
-5.2769476,-47.0324707,-0.365,0.468
-15.5912928,-47.9333496,-0.192,0.454
-21.0127268,-44.3298340,0.343,0.460
-16.4782298,-48.6364746,0.631,0.472
-14.3389038,-42.8796387,-0.503,0.379
-18.1354112,-42.7697754,-0.055,0.353
-4.7078283,-49.4714355,-0.285,0.353
-26.1455758,-50.8996582,-0.157,0.434
-31.3254862,-52.1520996,-0.385,0.389
-10.7577626,-40.0012207,-0.842,0.374
-7.8742645,-35.1013184,-0.269,0.409
-7.5040887,-38.9025879,-0.440,0.412
-10.6498109,-67.7307129,-0.730,0.430
-29.8692284,-51.4709473,0.120,0.443
-26.2441559,-53.4704590,-0.102,0.405
-4.8611009,-42.8796387,0.258,0.497
-1.4829887,-47.3400879,-0.216,0.382
-22.3195891,-52.3059082,-0.600,0.490
-26.9318647,-53.0310059,-0.336,0.430
-18.0100796,-41.2536621,-0.475,0.378
-21.6267923,-41.0559082,0.479,0.483
-19.8597269,-41.4074707,-0.416,0.387
-22.7052551,-43.1433105,0.943,0.445
-5.3863356,-45.8898926,-0.530,0.353
-7.8960294,-35.9802246,0.406,0.471
-12.0930384,-38.7707520,-0.430,0.423
-22.3195891,-53.8000488,0.702,0.484
-7.6783293,-35.5187988,0.962,0.472
-22.3805551,-51.5148926,-0.861,0.428
-25.6910376,-53.4045410,-0.116,0.389
-10.5850215,-40.3088379,-0.875,0.378
-10.9735497,-39.7155762,-0.349,0.407
-21.0947502,-48.6804199,0.547,0.460
-1.6367402,-50.4602051,0.063,0.398
-7.8089630,-40.9899902,-0.640,0.405
-23.3926816,-50.8557129,0.342,0.468
-25.3738088,-49.1857910,1.269,0.419
-24.8565339,-49.7570801,0.314,0.450
-10.7145865,-38.5949707,-0.482,0.357
-25.5721751,-50.1306152,-0.510,0.391
-27.3034516,-52.5036621,-0.553,0.410
-22.3195891,-45.8898926,1.164,0.447
-9.1563324,-42.9895020,-0.507,0.429
